ticker,year,month_name,sentiment,news_count,avg_daily_return
LRCX,2022,October,negative,2,4.839996337890625
LULU,2018,December,neutral,2,-2.7900009155273153
LULU,2018,February,neutral,2,-0.5799942016601562
LULU,2018,February,negative,2,2.9599990844726562
LULU,2018,July,negative,2,-2.9499969482421875
LULU,2018,October,positive,2,-2.329986572265625
LULU,2019,April,positive,2,1.339996337890625
LULU,2019,December,positive,2,3.2900085449218466
LULU,2019,January,positive,2,2.5100021362304688
LULU,2019,March,negative,4,0.7050018310546875
MA,2022,August,neutral,2,1.399993896484375
MA,2022,January,positive,2,-4.490020751953068
MA,2022,January,neutral,2,1.45001220703125
MA,2022,May,positive,2,-1.25
MA,2022,May,neutral,2,2.279998779296875
MA,2022,October,negative,2,-0.3800048828125
MA,2022,October,neutral,2,5.079986572265625
MAR,2018,December,negative,2,3.6399993896484375
MAR,2018,November,neutral,2,1.4300003051757812
MAR,2019,April,negative,2,-0.4799957275390625
MAR,2019,July,negative,2,0.8899993896484375
MAR,2019,July,neutral,2,2.1400146484375
MAR,2020,August,positive,2,2.8799972534179545
MAR,2020,February,neutral,2,2.6399993896484375
MAR,2020,June,neutral,2,-6.419998168945298
MAR,2020,March,negative,2,3.089996337890625
MAR,2020,May,neutral,2,-1.9900054931640625
MCHP,2012,October,neutral,2,0.16499996185302734
MCHP,2014,May,negative,2,0.13500022888183238
MCHP,2014,October,positive,2,0.13500022888183594
MDLZ,2016,December,neutral,2,-0.339996337890625
MDLZ,2016,July,positive,2,-0.13000106811523438
MDLZ,2017,August,neutral,2,-0.12999725341796875
MDLZ,2017,September,neutral,2,-0.3400001525878906
MDLZ,2018,September,negative,2,-0.029998779296875
MDLZ,2019,April,neutral,2,0.289997100830071
MDLZ,2019,January,negative,2,0.529998779296875
MDLZ,2019,June,positive,2,0.5300025939941335
MET,2007,December,neutral,2,0.02673721313477273
MET,2007,February,positive,4,0.9313735961914062
MET,2007,May,positive,2,-0.21390151977537641
MET,2009,October,neutral,2,1.6131916046142543
MET,2010,October,neutral,2,-0.22281646728516336
MET,2014,April,neutral,2,0.4545440673828196
MET,2014,May,neutral,2,0.18716812133789062
MKTX,2017,December,neutral,2,2.550003051757784
MKTX,2018,August,neutral,2,0.4399871826171591
MKTX,2019,December,neutral,2,-3.540008544921875
MKTX,2019,December,positive,2,-2.709991455078125
MKTX,2019,November,neutral,2,12.28997802734375
MKTX,2020,January,neutral,2,-5.620025634765682
MKTX,2020,May,negative,2,2.320007324218807
MKTX,2021,April,neutral,2,-4.350006103515625
MKTX,2021,October,neutral,2,2.820007324218693
MKTX,2022,January,positive,2,-6.90997314453125
MNST,2012,May,neutral,2,0.08333396911620738
MNST,2012,October,positive,2,0.00333404541015625
MNST,2013,June,negative,2,0
MNST,2019,August,positive,2,1.0100021362304688
MNST,2019,October,neutral,2,0.7299995422363281
MNST,2020,December,positive,2,-0.5
MNST,2021,July,negative,2,1.3300018310546875
MU,2021,December,neutral,2,1.69000244140625
MU,2022,August,negative,2,0.15000152587890625
MU,2022,October,negative,2,-2.520000457763672
NCLH,2015,May,positive,2,1.3199996948242188
NCLH,2016,August,neutral,2,-1.6399993896484375
NCLH,2019,May,positive,2,-0.3400001525878906
NCLH,2019,September,positive,2,0.3100013732910156
NCLH,2021,June,positive,2,0.3199996948242223
NCLH,2021,October,neutral,2,0.22999954223633168
NCLH,2022,April,positive,2,0.8400001525878942
NTAP,2008,February,negative,2,0.8500003814697266
NTAP,2009,July,positive,2,0.3599987030029297
NTAP,2010,July,neutral,2,0.3899993896484375
NTAP,2010,September,positive,2,-1.529998779296875
NTAP,2011,June,neutral,2,0.20999908447265625
NTAP,2011,March,negative,2,-0.3400001525878906
NTAP,2012,September,negative,2,-1.3299980163574219
NTAP,2022,November,negative,2,-1.2299957275390625
NTRS,2009,October,negative,2,-0.4900016784667969
NTRS,2010,October,negative,2,0.15999984741210938
NTRS,2012,October,negative,4,0.4199981689453125
NTRS,2014,July,positive,2,-0.4199981689453125
NTRS,2015,January,negative,2,-1.0699996948242188
NTRS,2018,April,neutral,2,1.470001220703125
NTRS,2021,March,negative,2,-1.2099990844726562
NWSA,2019,October,neutral,2,0.020000457763671875
NWSA,2020,November,positive,2,-0.26000022888183594
NWSA,2021,June,negative,2,-0.6499996185302734
NWSA,2021,May,neutral,2,-0.2600002288818395
NWSA,2021,September,positive,2,-0.10000038146973012
NXPI,2018,April,positive,2,0.48999786376951704
NXPI,2018,December,positive,2,-1.2900009155273438
NXPI,2018,July,positive,2,0.970001220703125
NXPI,2018,June,neutral,2,1.540000915527358
NXPI,2018,September,negative,2,0.3899993896484375
NXPI,2019,May,negative,2,-1.6100006103515767
